# File generated by CMD 2.8 (http://stev.oapd.inaf.it/cmd) on Mon Nov  7 20:27:29 CET 2016
# Basic reference: Marigo et al. (2008, A&A 482, 883) 
# but applying the corrections from Case A in Girardi et al. (2010, ApJ 724, 1030) 
# + Bertelli et al. (1994, A&AS, 106, 275) for the Mi>7.0 Msun interval
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583)
# BCs of Carbon stars derive from Aringer et al. (2009, A&A 503, 913)
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
#	Isochrone	Z = 0.01900		Age = 	3.981e+06 yr
# log(age/yr)	M_ini   	M_act	logL/Lo	logTe	logG	mbol    U       B       V       R       I       J       H       K	C/O	M_hec	period	pmode	logMdot	int_IMF	stage
	6.60	1.9500000477	1.9500	1.1803	3.9545	4.3116	1.819	1.956	1.942	1.876	1.852	1.836	1.822	1.811	1.808	0.4787	0.0000	0.0	1	-14.888	2.5663545132	
	6.60	2.0000000000	2.0000	1.2475	3.9639	4.2932	1.651	1.783	1.787	1.741	1.727	1.720	1.718	1.713	1.713	0.4787	0.0000	0.0	1	-14.912	2.5685424805	
	6.60	2.2000000477	2.2000	1.3905	3.9943	4.3132	1.294	1.427	1.503	1.508	1.517	1.534	1.570	1.581	1.587	0.4787	0.0000	0.0	1	-15.001	2.5761635303	
	6.60	2.5000000000	2.5000	1.6048	4.0344	4.3147	0.758	0.918	1.113	1.166	1.194	1.233	1.312	1.338	1.356	0.4787	0.0000	0.0	1	-15.120	2.5850093365	
	6.60	3.0000000000	3.0000	1.9059	4.0886	4.3097	0.005	0.238	0.604	0.697	0.739	0.799	0.932	0.973	1.005	0.4787	0.0000	0.1	1	-13.516	2.5953342915	
	6.60	3.5000000000	3.5000	2.1531	4.1319	4.3026	-0.613	-0.284	0.203	0.320	0.371	0.445	0.614	0.665	0.706	0.4787	0.0000	0.1	1	-13.449	2.6023445129	
	6.60	3.6867854595	3.6868	2.2349	4.1460	4.2997	-0.817	-0.451	0.071	0.196	0.250	0.328	0.508	0.563	0.606	0.4787	0.0000	0.1	1	-13.426	2.6044092178	          
	6.60	4.0000000000	4.0000	2.3642	4.1681	4.2944	-1.141	-0.708	-0.135	0.002	0.061	0.145	0.342	0.402	0.448	0.4787	0.0000	0.1	1	-13.391	2.6073791981	
	6.60	4.5000000000	4.5000	2.5450	4.2000	4.2920	-1.593	-1.054	-0.413	-0.261	-0.195	-0.101	0.118	0.184	0.236	0.4787	0.0000	0.1	1	-13.339	2.6111497879	
	6.60	5.0000000000	5.0000	2.7108	4.2276	4.2826	-2.007	-1.370	-0.676	-0.511	-0.438	-0.335	-0.098	-0.027	0.031	0.4787	0.0000	0.1	1	-13.294	2.6140668392	
	6.60	6.0000000000	6.0000	2.9959	4.2736	4.2609	-2.720	-1.914	-1.138	-0.950	-0.865	-0.748	-0.482	-0.402	-0.336	0.4787	0.0000	0.1	1	-13.215	2.6182601452	
	6.60	7.0000000000	7.0000	3.2342	4.3116	4.2414	-3.315	-2.370	-1.530	-1.325	-1.230	-1.101	-0.812	-0.723	-0.651	0.4787	0.0000	0.1	1	-13.148	2.6211071014	
	6.60	9.0000000000	9.0000	3.6352	4.3703	4.1842	-4.318	-3.162	-2.224	-1.997	-1.889	-1.743	-1.418	-1.316	-1.231	0.4787	0.0000	0.1	1	-13.038	2.6246831417	
	6.60	12.0000000000	12.0000	4.0676	4.4316	4.1220	-5.399	-4.025	-2.999	-2.747	-2.627	-2.465	-2.106	-1.991	-1.895	0.4787	0.0000	0.1	1	-12.913	2.6275708675	
	6.60	13.0872526169	13.0755	4.1930	4.4479	4.0992	-5.712	-4.284	-3.236	-2.978	-2.853	-2.687	-2.319	-2.200	-2.101	0.4787	0.0000	0.1	1	-12.876	2.6282496452	          
	6.60	15.0000000000	14.9573	4.3970	4.4727	4.0528	-6.222	-4.719	-3.639	-3.369	-3.240	-3.067	-2.685	-2.561	-2.458	0.4787	0.0000	0.1	1	-12.818	2.6291739941	
